
"state","county","anew_score"
"alabama","jefferson",3.76
"alabama","jefferson",7.56
"alabama","jefferson",2.48
"alabama","jefferson",6.91
"alabama","jefferson",6.55
"alabama","jefferson",6.87
"alabama","jefferson",7.74
"alabama","jefferson",1.61
"alabama","jefferson",8.72
"alabama","jefferson",5.3
"alabama","jefferson",5.55
"alabama","jefferson",8.72
"alabama","jefferson",7.05
"alabama","jefferson",1.5
"alabama","jefferson",7.55
"alabama","jefferson",5.56
"alabama","jefferson",6.34
"alabama","jefferson",5.93
"alabama","jefferson",6.34
"alabama","jefferson",8.72
"alabama","jefferson",4.775
"alabama","jefferson",6.73
"alabama","jefferson",7.59
"alabama","jefferson",5.585
"alabama","jefferson",8.03
"alabama","jefferson",5.3
"alabama","jefferson",6.55
"alabama","jefferson",6.73
"alabama","jefferson",7.305
"alabama","jefferson",6.165
"alabama","jefferson",7.75
"alabama","jefferson",5.55
"alabama","jefferson",7.73
"alabama","jefferson",2.12
"alabama","jefferson",7.47
"alabama","jefferson",7.74
"alabama","jefferson",7.18333333333333
"alabama","jefferson",8.72
"alabama","jefferson",7.08
"alabama","jefferson",6.411111111
"alabama","jefferson",8.72
"alabama","jefferson",5.08
"alabama","jefferson",7.84
"alabama","jefferson",7.05
"alabama","jefferson",7.05
"alabama","jefferson",8.72
"alabama","jefferson",4.09
"alabama","jefferson",7.74
"alabama","jefferson",6.41
"alabama","jefferson",7.65
"alabama","jefferson",5.55
"alabama","jefferson",2.24
"alabama","jefferson",8.13
"alabama","jefferson",7.86
"alabama","jefferson",7.192
"alabama","jefferson",7.2
"alabama","jefferson",6.73
"alabama","jefferson",5.29
"alabama","jefferson",8.15
"alabama","jefferson",8.21
"alabama","jefferson",7.11
"alabama","jefferson",3.58
"alabama","jefferson",8.15
"alabama","jefferson",4.02
"alabama","jefferson",5.295
"alabama","jefferson",5.31
"alabama","jefferson",4.93
"alabama","jefferson",5.31
"alabama","jefferson",7.47
"alabama","jefferson",6.73
"alabama","jefferson",4.93
"alabama","jefferson",7.26
"alabama","jefferson",8.72
"alabama","jefferson",6.73
"alabama","jefferson",6.87
"alabama","jefferson",5.06
"alabama","jefferson",6.411111111
"alabama","jefferson",7.265
"alabama","jefferson",7.62
"alabama","jefferson",7.2
"alabama","jefferson",6.765
"alabama","jefferson",8.26
"alabama","jefferson",8.72
"alabama","jefferson",6.73
"alabama","jefferson",5.765
"alabama","jefferson",5.765
"alabama","jefferson",1.93
"alabama","jefferson",2.82
"alabama","jefferson",6.02
"alabama","jefferson",8.15
"alabama","jefferson",7.47
"alabama","jefferson",8.21
"alabama","jefferson",5.55
"alabama","jefferson",2.39
"alabama","jefferson",7.84
"alabama","jefferson",7.695
"alabama","jefferson",2.25
"alabama","jefferson",6.12
"alabama","jefferson",2.95
"alabama","jefferson",7.315
"alabama","jefferson",7.11
"alabama","jefferson",4.36
"alabama","jefferson",8.03
"alabama","jefferson",6.12
"alabama","jefferson",7.33
"alabama","jefferson",2.51
"alabama","jefferson",7.47
"alabama","jefferson",7.33
"alabama","jefferson",7.14333333333333
"alabama","jefferson",4.73
"alabama","jefferson",5.01
"alabama","jefferson",3.565
"alabama","jefferson",5.27
"alabama","jefferson",4.885
"alabama","jefferson",2.02
"alabama","jefferson",3.62
"alabama","jefferson",5.78
"alabama","jefferson",7.33
"alabama","jefferson",7.47
"alabama","jefferson",8.72
"alabama","jefferson",7.54
"alabama","jefferson",6.73
"alabama","jefferson",8.02
"alabama","jefferson",5.08
"alabama","jefferson",6.411111111
"alabama","jefferson",4.33
"alabama","jefferson",6.411111111
"alabama","jefferson",7.47
"alabama","jefferson",6.165
"alabama","jefferson",7.47
"alabama","jefferson",6.63
"alabama","jefferson",5.59
"alabama","jefferson",7.91
"alabama","jefferson",7.47
"alabama","jefferson",6.39
"alabama","jefferson",7.085
"alabama","jefferson",6.39
"alabama","jefferson",5.13
"alabama","jefferson",7.91
"alabama","jefferson",5.31
"alabama","jefferson",6.39
"alabama","jefferson",7.47
"alabama","jefferson",7.84
"alabama","jefferson",6.73
"alabama","jefferson",3.88
"alabama","jefferson",7.5
"alabama","jefferson",6.72
"alabama","jefferson",7.27
"alabama","jefferson",7.59
"alabama","jefferson",7.47
"alabama","jefferson",7.47
"alabama","jefferson",8.15
"alabama","jefferson",7.47
"alabama","jefferson",7.74
"alabama","jefferson",8.72
"alabama","jefferson",6.5
"alabama","jefferson",5.265
"alabama","jefferson",5.29
"alabama","jefferson",7.47
"alabama","jefferson",6.87
"alabama","jefferson",8.72
"alabama","jefferson",8.72
"alabama","jefferson",5.11
"alabama","lauderdale",1.61
"alabama","lauderdale",7.59
"alabama","lauderdale",6.73
"alabama","lauderdale",8.72
"alabama","lauderdale",8.72
"alabama","lauderdale",7.33
"alabama","lauderdale",2.13
"alabama","lauderdale",7.545
"alabama","lauderdale",7.13
"alabama","lauderdale",4.32
"alabama","lauderdale",6.73
"alabama","lauderdale",2.09
"alabama","lauderdale",6.39
"alabama","lauderdale",8.72
"alabama","lauderdale",8.72
"alabama","lauderdale",7.39
"alabama","lauderdale",7.47
"alabama","lauderdale",2.79
"alabama","lauderdale",4.08
"alabama","lauderdale",8.72
"alabama","lauderdale",2.12
"alabama","lauderdale",5.22
"alabama","lauderdale",6.54
"alabama","lauderdale",5.55
"alabama","lauderdale",4.055
"alabama","lauderdale",7.015
"alabama","lauderdale",6.13
"alabama","lauderdale",7.65
"alabama","lauderdale",6.405
"alabama","lauderdale",6.64
"alabama","lauderdale",5.31
"alabama","lauderdale",6.97333333333333
"alabama","lauderdale",7.59
"alabama","lauderdale",7.33
"alabama","lauderdale",7.33
"alabama","lauderdale",7.15
"alabama","lauderdale",6.34
"alabama","lauderdale",2.12
"alabama","lauderdale",7.33
"alabama","lauderdale",3.39
"alabama","lauderdale",7.09
"alabama","lauderdale",7.15
"alabama","lauderdale",8.13
"alabama","lauderdale",2.36
"alabama","lauderdale",7.245
"alabama","lauderdale",8.04
"alabama","lauderdale",8.64
"alabama","lauderdale",7.64
"alabama","lauderdale",2.09
"alabama","lauderdale",7.27
"alabama","lauderdale",8.72
"alabama","lauderdale",3.64
"alabama","lauderdale",8.72
"alabama","lauderdale",8.72
"alabama","lauderdale",8.72
"alabama","lauderdale",6.965
"alabama","lauderdale",8.72
"alabama","lauderdale",5.64
"alabama","lauderdale",4.26
"alabama","lauderdale",8.25666666666667
"alabama","lauderdale",1.9
"alabama","lawrence",7.91
"alabama","lee",5.465
"alabama","lee",7.73
"alabama","lee",6.411111111
"alabama","lee",2.12
"alabama","lee",7.2
"alabama","lee",6.39
"alabama","lee",7.64
"alabama","lee",8.025
"alabama","lee",6.7
"alabama","lee",6.73
"alabama","lee",5.065
"alabama","lee",8.72
"alabama","lee",7.26
"alabama","lee",7.02
"alabama","lee",7.91
"alabama","lee",7.33
"alabama","lee",2.5
"alabama","lee",8.72
"alabama","lee",1.9
"alabama","lee",2.31
"alabama","lee",1.25
"alabama","lee",8.47
"alabama","lee",8.22
"alabama","lee",7.47
"alabama","lee",8.21
"alabama","lee",6.411111111
"alabama","lee",2.09
"alabama","lee",7.27
"alabama","lee",5.78
"alabama","lee",8.72
"alabama","lee",6.63
"alabama","lee",7.92
"alabama","lee",8.72
"alabama","lee",8.26
"alabama","lee",8.05
"alabama","lee",6.39
"alabama","lee",8.03
"alabama","lee",6.17
"alabama","lee",4.9
"alabama","lee",6.73
"alabama","lee",2.5
"alabama","lee",7.59
"alabama","lee",5.12
"alabama","lee",5.34
"alabama","lee",4.71
"alabama","lee",8.72
"alabama","lee",3.62
"alabama","lee",3.44
"alabama","lee",2.78
"alabama","lee",7.47
"alabama","lee",5.31
"alabama","lee",7.565
"alabama","lee",6.97
"alabama","lee",8.72
"alabama","lee",2.02
"alabama","limestone",5.36
"alabama","limestone",2.31
"alabama","limestone",7.55
"alabama","limestone",2.31
"alabama","limestone",7.1
"alabama","limestone",6.02
"alabama","limestone",4.51
"alabama","limestone",7.51
"alabama","limestone",5.845
"alabama","limestone",5.95
"alabama","limestone",6.53
"alabama","limestone",8.72
"alabama","limestone",7.92333333333333
"alabama","limestone",6.065
"alabama","limestone",4.95
"alabama","limestone",7.47
"alabama","limestone",8.72
"alabama","limestone",2.78
"alabama","limestone",4.51
"alabama","limestone",6.411111111
"alabama","limestone",7.47
"alabama","limestone",7.2
"alabama","limestone",7.81
"alabama","limestone",4.51
"alabama","limestone",6.73
"alabama","limestone",4.51
"alabama","lowndes",7.65
"alabama","lowndes",6.73
"alabama","macon",2.24
"alabama","macon",6.61
"alabama","macon",4.02
"alabama","macon",6.8
"alabama","macon",7.93
"alabama","macon",1.9
"alabama","macon",7.545
"alabama","macon",2.24
"alabama","macon",6.45
"alabama","madison",7.91
"alabama","madison",6.18
"alabama","madison",6.65
"alabama","madison",3.38
"alabama","madison",5.53
"alabama","madison",6.565
"alabama","madison",8.22
"alabama","madison",6.73
"alabama","madison",1.92
"alabama","madison",1.39
"alabama","madison",6.525
"alabama","madison",7.51
"alabama","madison",6.89
"alabama","madison",5.99
"alabama","madison",2.79
"alabama","madison",7.59
"alabama","madison",7.47
"alabama","madison",7.2
"alabama","madison",8.15
"alabama","madison",6.255
"alabama","madison",7.015
"alabama","madison",7.25
"alabama","madison",7.27
"alabama","madison",7.59
"alabama","madison",2.24
